tingkat,tahun,bulan,tanggal,jenis,harga
pedagang_eceran,2025,januari,16,bawang_putih,39066
pedagang_eceran,2025,januari,17,bawang_putih,39214
pedagang_eceran,2025,januari,18,bawang_putih,39494
pedagang_eceran,2025,januari,19,bawang_putih,39175
pedagang_eceran,2025,januari,20,bawang_putih,39125
pedagang_eceran,2025,januari,21,bawang_putih,39095
pedagang_eceran,2025,januari,22,bawang_putih,39095
pedagang_eceran,2025,januari,23,bawang_putih,39098
pedagang_eceran,2025,januari,24,bawang_putih,39010
pedagang_eceran,2025,januari,25,bawang_putih,39091
pedagang_eceran,2025,januari,26,bawang_putih,39082
pedagang_eceran,2025,januari,27,bawang_putih,
pedagang_eceran,2025,januari,28,bawang_putih,
pedagang_eceran,2025,januari,29,bawang_putih,
pedagang_eceran,2025,januari,30,bawang_putih,38451
pedagang_eceran,2025,januari,31,bawang_putih,38667
pedagang_eceran,2025,januari,1,cabai_merah_keriting,51200
pedagang_eceran,2025,januari,2,cabai_merah_keriting,60068
pedagang_eceran,2025,januari,3,cabai_merah_keriting,58381
pedagang_eceran,2025,januari,4,cabai_merah_keriting,56420
pedagang_eceran,2025,januari,5,cabai_merah_keriting,57620
pedagang_eceran,2025,januari,6,cabai_merah_keriting,57580
pedagang_eceran,2025,januari,7,cabai_merah_keriting,56885
pedagang_eceran,2025,januari,8,cabai_merah_keriting,57951
pedagang_eceran,2025,januari,9,cabai_merah_keriting,57011
pedagang_eceran,2025,januari,10,cabai_merah_keriting,55916
pedagang_eceran,2025,januari,11,cabai_merah_keriting,55099
pedagang_eceran,2025,januari,12,cabai_merah_keriting,56434
pedagang_eceran,2025,januari,13,cabai_merah_keriting,55817
pedagang_eceran,2025,januari,14,cabai_merah_keriting,52889
pedagang_eceran,2025,januari,15,cabai_merah_keriting,56340
pedagang_eceran,2025,januari,16,cabai_merah_keriting,55529
pedagang_eceran,2025,januari,17,cabai_merah_keriting,55198
pedagang_eceran,2025,januari,18,cabai_merah_keriting,54012
pedagang_eceran,2025,januari,19,cabai_merah_keriting,54128
pedagang_eceran,2025,januari,20,cabai_merah_keriting,53653
pedagang_eceran,2025,januari,21,cabai_merah_keriting,53099
pedagang_eceran,2025,januari,22,cabai_merah_keriting,52182
pedagang_eceran,2025,januari,23,cabai_merah_keriting,52327
pedagang_eceran,2025,januari,24,cabai_merah_keriting,53067
